ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,DESDOBRAMENTO,STATUS,TIPOPESSOA,VITIMAFATAL,NATURALIDADE,NACIONALIDADE,SEXO,DATANASCIMENTO,IDADE,ESTADOCIVIL,PROFISSAO,GRAUINSTRUCAO,CORCUTIS,NATUREZAVINCULADA,TIPOVINCULO,RELACIONAMENTO,PARENTESCO,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR
2022,3189,3189/2022,1/12/2022 0:08,1/12/2022 0:08,30/11/2022,19:00,A NOITE,30/11/2022,1/12/2022 0:08,Desconhecida,Não,,PRAÇA VINTE E DOIS DE JANEIRO,289,GONZAGUINHA,S.VICENTE,SP,"-239,698,676,369,999","-4,638,747,648",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.S.VICENTE,DEL.POL.S.VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,2039834,2039834/2022,1/12/2022 0:09,1/12/2022 0:09,29/11/2022,20:35,A NOITE,29/11/2022,1/12/2022 0:09,Desconhecida,Não,2039833/2022 - 900020,Avenida Dom Pedro I,1995,Balneario Cidade Atlantica,GUARUJA,SP,"-239,820,881","-462,323,151",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,2039835,2039835/2022,1/12/2022 0:18,1/12/2022 0:18,29/11/2022,20:35,A NOITE,29/11/2022,1/12/2022 0:18,Desconhecida,Não,2039834/2022 - 900020,Avenida Dom Pedro I,1995,Balneario Cidade Atlantica,GUARUJA,SP,"-239,820,881","-462,323,151",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.GUARUJA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Apple
2022,219386,219386/2022,1/12/2022 0:19,1/12/2022 0:19,30/11/2022,13:50,A TARDE,30/11/2022,1/12/2022 0:19,Desconhecida,Não,,RUA JOÃO RAMALHO,126,CENTRO,S.VICENTE,SP,"-239,639,626,176,301","-463,871,608,485,068",Via pública,,BO PARA REGISTRO,DELEGACIA ELETRONICA 3,DEL.POL.S.VICENTE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,,Consumado,,,,,,,,,,,,,,,,,,,,,0,0,,1,Samsung
2022,1334,1334/2022,1/12/2022 2:47,1/12/2022 2:47,30/11/2022,21:50,A NOITE,1/12/2022,1/12/2022 2:47,Desconhecida,Não,,Rodovia Cônego Domênico Rangoni,1,,CUBATAO,SP,"-238,565,774","-463,688,642",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.CUBATÃO,01º D.P. CUBATÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,RTB2B26,MG,BELO HORIZONTE,Branco,FIAT/FIORINO ENDURANCE,2021,2021,CAMINHONETE,1,Apple
2022,1334,1334/2022,1/12/2022 2:47,1/12/2022 2:47,30/11/2022,21:50,A NOITE,1/12/2022,1/12/2022 2:47,Desconhecida,Não,,Rodovia Cônego Domênico Rangoni,1,,CUBATAO,SP,"-238,565,774","-463,688,642",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.CUBATÃO,01º D.P. CUBATÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,RTB2B26,MG,BELO HORIZONTE,Branco,FIAT/FIORINO ENDURANCE,2021,2021,CAMINHONETE,1,Motorola
2022,1334,1334/2022,1/12/2022 2:47,1/12/2022 2:47,30/11/2022,21:50,A NOITE,1/12/2022,1/12/2022 2:47,Desconhecida,Não,,Rodovia Cônego Domênico Rangoni,1,,CUBATAO,SP,"-238,565,774","-463,688,642",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.CUBATÃO,01º D.P. CUBATÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,RTB2B26,MG,BELO HORIZONTE,Branco,FIAT/FIORINO ENDURANCE,2021,2021,CAMINHONETE,1,Samsung
2022,1334,1334/2022,1/12/2022 2:47,1/12/2022 2:47,30/11/2022,21:50,A NOITE,1/12/2022,1/12/2022 2:47,Desconhecida,Não,,Rodovia Cônego Domênico Rangoni,1,,CUBATAO,SP,"-238,565,774","-463,688,642",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.CUBATÃO,01º D.P. CUBATÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,RTI4I23,MG,BELO HORIZONTE,Branco,FIAT/FIORINO ENDURANCE,2021,2021,CAMINHONETE,1,Apple
2022,1334,1334/2022,1/12/2022 2:47,1/12/2022 2:47,30/11/2022,21:50,A NOITE,1/12/2022,1/12/2022 2:47,Desconhecida,Não,,Rodovia Cônego Domênico Rangoni,1,,CUBATAO,SP,"-238,565,774","-463,688,642",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.CUBATÃO,01º D.P. CUBATÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,RTI4I23,MG,BELO HORIZONTE,Branco,FIAT/FIORINO ENDURANCE,2021,2021,CAMINHONETE,1,Motorola
2022,1334,1334/2022,1/12/2022 2:47,1/12/2022 2:47,30/11/2022,21:50,A NOITE,1/12/2022,1/12/2022 2:47,Desconhecida,Não,,Rodovia Cônego Domênico Rangoni,1,,CUBATAO,SP,"-238,565,774","-463,688,642",Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.CUBATÃO,01º D.P. CUBATÃO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - VEICULO,,Consumado,,,,,,,,,,,,,,,,RTI4I23,MG,BELO HORIZONTE,Branco,FIAT/FIORINO ENDURANCE,2021,2021,CAMINHONETE,1,Samsung
